id,param_value,expected_regret,correct_arm,correct_arm_80,min_opt_gap,opt_mean,warmup,warmup_label
66,21,656.25,1.0,1.0,0.35,0.85,2000,Warmup N: 2000
67,21,562.4999999999999,1.0,1.0,0.30000000000000004,0.8,2000,Warmup N: 2000
68,21,468.75,1.0,1.0,0.25,0.75,2000,Warmup N: 2000
69,21,374.99999999999994,1.0,1.0,0.19999999999999996,0.7,2000,Warmup N: 2000
70,21,282.9419999999999,1.0,1.0,0.15000000000000002,0.65,2000,Warmup N: 2000
71,21,209.65599999999998,0.97,0.75,0.09999999999999998,0.6,2000,Warmup N: 2000
72,21,158.15550000000013,0.64,0.03,0.050000000000000044,0.55,2000,Warmup N: 2000
73,31,25.964,1.0,1.0,0.4,0.9,0,Warmup N: 0
74,31,24.402,1.0,1.0,0.35,0.85,0,Warmup N: 0
75,31,52.314,1.0,1.0,0.30000000000000004,0.8,0,Warmup N: 0
76,31,64.5575,1.0,1.0,0.25,0.75,0,Warmup N: 0
77,31,39.943999999999996,1.0,1.0,0.19999999999999996,0.7,0,Warmup N: 0
78,31,106.356,0.97,0.97,0.15000000000000002,0.65,0,Warmup N: 0
79,31,118.94299999999997,0.91,0.42,0.09999999999999998,0.6,0,Warmup N: 0
80,31,134.9040000000001,0.7,0.07,0.050000000000000044,0.55,0,Warmup N: 0
81,31,374.79999999999984,1.0,1.0,0.4,0.9,1000,Warmup N: 1000
82,31,327.95000000000016,1.0,1.0,0.35,0.85,1000,Warmup N: 1000
83,31,281.2530000000002,1.0,1.0,0.30000000000000004,0.8,1000,Warmup N: 1000
84,31,234.835,1.0,1.0,0.25,0.75,1000,Warmup N: 1000
85,31,189.2659999999999,1.0,1.0,0.19999999999999996,0.7,1000,Warmup N: 1000
86,31,150.40500000000006,1.0,1.0,0.15000000000000002,0.65,1000,Warmup N: 1000
87,31,123.43899999999992,1.0,0.64,0.09999999999999998,0.6,1000,Warmup N: 1000
88,31,132.6405000000001,0.67,0.0,0.050000000000000044,0.55,1000,Warmup N: 1000
89,31,750.0,1.0,1.0,0.4,0.9,2000,Warmup N: 2000
90,31,656.25,1.0,1.0,0.35,0.85,2000,Warmup N: 2000
91,31,562.4999999999999,1.0,1.0,0.30000000000000004,0.8,2000,Warmup N: 2000
92,31,468.75,1.0,1.0,0.25,0.75,2000,Warmup N: 2000
93,31,374.99999999999994,1.0,1.0,0.19999999999999996,0.7,2000,Warmup N: 2000
94,31,283.4145,1.0,1.0,0.15000000000000002,0.65,2000,Warmup N: 2000
95,31,203.118,1.0,0.82,0.09999999999999998,0.6,2000,Warmup N: 2000
96,31,157.58850000000012,0.61,0.03,0.050000000000000044,0.55,2000,Warmup N: 2000
97,41,29.703999999999997,1.0,1.0,0.4,0.9,0,Warmup N: 0
98,41,40.0225,1.0,1.0,0.35,0.85,0,Warmup N: 0
99,41,53.277,1.0,1.0,0.30000000000000004,0.8,0,Warmup N: 0
100,41,41.6175,1.0,1.0,0.25,0.75,0,Warmup N: 0
101,41,75.10199999999999,1.0,1.0,0.19999999999999996,0.7,0,Warmup N: 0
102,41,54.26700000000001,1.0,1.0,0.15000000000000002,0.65,0,Warmup N: 0
103,41,92.84199999999997,0.94,0.61,0.09999999999999998,0.6,0,Warmup N: 0
104,41,114.9465000000001,0.67,0.0,0.050000000000000044,0.55,0,Warmup N: 0
105,41,374.79999999999984,1.0,1.0,0.4,0.9,1000,Warmup N: 1000
106,41,327.95000000000016,1.0,1.0,0.35,0.85,1000,Warmup N: 1000
107,41,281.7570000000002,1.0,1.0,0.30000000000000004,0.8,1000,Warmup N: 1000
108,41,235.1575,1.0,1.0,0.25,0.75,1000,Warmup N: 1000
109,41,191.4679999999999,1.0,1.0,0.19999999999999996,0.7,1000,Warmup N: 1000
110,41,149.74800000000005,1.0,1.0,0.15000000000000002,0.65,1000,Warmup N: 1000
111,41,133.45299999999995,0.97,0.88,0.09999999999999998,0.6,1000,Warmup N: 1000
112,41,138.3055000000001,0.73,0.0,0.050000000000000044,0.55,1000,Warmup N: 1000
113,41,750.0,1.0,1.0,0.4,0.9,2000,Warmup N: 2000
114,41,656.25,1.0,1.0,0.35,0.85,2000,Warmup N: 2000
115,41,562.4999999999999,1.0,1.0,0.30000000000000004,0.8,2000,Warmup N: 2000
116,41,468.75,1.0,1.0,0.25,0.75,2000,Warmup N: 2000
117,41,374.99999999999994,1.0,1.0,0.19999999999999996,0.7,2000,Warmup N: 2000
118,41,283.2479999999999,1.0,1.0,0.15000000000000002,0.65,2000,Warmup N: 2000
119,41,205.377,1.0,0.91,0.09999999999999998,0.6,2000,Warmup N: 2000
